username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
qalbiguwop;2017-07-15 11:37;0;3;"I think it's odd that you think that's a centrist point of view and not a point of view held by oh... just about everyone in the west.";;;;"886187880053448704";https://twitter.com/qalbiguwop/status/886187880053448704
qalbiguwop;2017-07-15 10:54;0;8;"Or you can stop making excuses for dangerous racists.";;;;"886177238034657280";https://twitter.com/qalbiguwop/status/886177238034657280
qalbiguwop;2017-07-15 04:32;0;0;"It began in the South of the USA but it's understood everywhere especially in the English media consuming world.";;;;"886080903084208128";https://twitter.com/qalbiguwop/status/886080903084208128
qalbiguwop;2017-07-15 04:30;0;0;"Yes, to try to diminish them as men. It's not the n-word but it's almost as bad.";;;;"886080397611855873";https://twitter.com/qalbiguwop/status/886080397611855873
qalbiguwop;2017-07-15 01:34;0;0;"During and after slavery, it's how racist white men would refer to grown black men. It still happens. It's historically significant.";;;;"886036296476610560";https://twitter.com/qalbiguwop/status/886036296476610560
qalbiguwop;2017-07-14 21:26;0;0;"Read it. It's colorblind bullshit.";;;;"885973720124272641";https://twitter.com/qalbiguwop/status/885973720124272641
qalbiguwop;2017-07-14 19:11;0;1;"They have to show they hate black people and Muslims somehow";;;;"885939930140213248";https://twitter.com/qalbiguwop/status/885939930140213248
qalbiguwop;2017-07-14 18:47;0;1;"WTFFFFF WHY. Do you fight them or what?";;;;"885933877604347904";https://twitter.com/qalbiguwop/status/885933877604347904
qalbiguwop;2017-07-14 18:39;0;0;"Seeing them defend cops that kill unarmed BP. A few weeks ago this Canadian btch attacked the concept of First Nations in my mentions.";;;;"885931676253249536";https://twitter.com/qalbiguwop/status/885931676253249536
qalbiguwop;2017-07-14 18:33;0;1;"Oh, I didn't read the comments. Twitter is why I know Canadians and Americans are one and the same.";;;;"885930189087272960";https://twitter.com/qalbiguwop/status/885930189087272960
qalbiguwop;2017-07-14 18:15;0;1;"What's going on now?";;;;"885925706236125185";https://twitter.com/qalbiguwop/status/885925706236125185
qalbiguwop;2017-07-14 17:45;0;1;"She wanted attention. Her mentions were boring like her whole life before this.";;;;"885918288844402688";https://twitter.com/qalbiguwop/status/885918288844402688
qalbiguwop;2017-07-14 17:14;0;0;"Can you see why you wouldn't have consumed English language media in the same way as ppl who speak English as a 1st language like Conor?";;;;"885910431042342912";https://twitter.com/qalbiguwop/status/885910431042342912
qalbiguwop;2017-07-14 17:01;0;0;"You mean die less and reach old age.";;;;"885907064354213889";https://twitter.com/qalbiguwop/status/885907064354213889
qalbiguwop;2017-07-14 14:50;0;1;"But she will still have been viciously beaten by a cop.";;;;"885874066560880645";https://twitter.com/qalbiguwop/status/885874066560880645
qalbiguwop;2017-07-14 14:25;0;0;"Is English your first language?";;;;"885867962896441344";https://twitter.com/qalbiguwop/status/885867962896441344
qalbiguwop;2017-07-14 05:46;0;0;"Photoshop doesn't exist in real time, in real life?";;;;"885737368845602822";https://twitter.com/qalbiguwop/status/885737368845602822
qalbiguwop;2017-07-14 05:38;1;6;"Bullshit. His disrespect towards Floyd wasn't personal. It was racial. He could have attacked Floyd, he attacked his blackness instead.";;;;"885735222314024960";https://twitter.com/qalbiguwop/status/885735222314024960
qalbiguwop;2017-07-14 04:22;0;3;"He's so cute";;;;"885716131880681472";https://twitter.com/qalbiguwop/status/885716131880681472
