username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
maximirth10;2017-10-16 06:35;0;1;"lol that's the best way to get paid!";;;;"919813963143139328";https://twitter.com/maximirth10/status/919813963143139328
maximirth10;2017-09-12 12:08;0;2;"lol";;;;"907576745527783424";https://twitter.com/maximirth10/status/907576745527783424
maximirth10;2017-09-12 12:06;0;1;"Trump and his prop";;;;"907576231104835585";https://twitter.com/maximirth10/status/907576231104835585
maximirth10;2017-09-12 11:40;0;1;"I big blowhard.";;;;"907569619287896064";https://twitter.com/maximirth10/status/907569619287896064
maximirth10;2017-09-12 11:39;0;0;"Ok, so what? Seems like Trump can do whatever he wants. Let that have been Obama illegally negotiating with persons from Kenya. Sucks teeth";;;;"907569298536910848";https://twitter.com/maximirth10/status/907569298536910848
maximirth10;2017-09-12 10:35;0;11;"Barack stated that Michelle would not run. All the racism she endured, can you blame her";;;;"907553252400680960";https://twitter.com/maximirth10/status/907553252400680960
maximirth10;2017-09-12 10:34;2;7;"Typical Narcissistic behavior. Y'all should be used to it by now.";;;;"907552883838726144";https://twitter.com/maximirth10/status/907552883838726144
maximirth10;2017-09-12 03:15;2;6;"I could sit here and watch videos of you dancing all night!";;;;"907442410493542400";https://twitter.com/maximirth10/status/907442410493542400
maximirth10;2017-09-12 03:09;0;2;"Uhhh.....cruelty at it's best";;;;"907441066948927488";https://twitter.com/maximirth10/status/907441066948927488
maximirth10;2017-09-12 03:08;6;36;"Racist pardoning a racist. Had Obama pardoned a black man like Arpaio, impeachment proceedings would have started by now.";;;;"907440872886861824";https://twitter.com/maximirth10/status/907440872886861824
maximirth10;2017-09-12 03:06;3;9;"Notice how they have on the Trump uniform, khaki pants, white polo shirt. The new Klu Klux Klan uniforms pic.twitter.com/flVMz0hcK4";;;;"907440274040860672";https://twitter.com/maximirth10/status/907440274040860672
maximirth10;2017-09-12 03:01;1;1;"Not even relevant pic.twitter.com/ZNuSLTgZDr";;;;"907439020686368768";https://twitter.com/maximirth10/status/907439020686368768
maximirth10;2017-09-12 03:00;1;2;"He just needs to go somewhere, sit down, and be quiet";;;;"907438673762951168";https://twitter.com/maximirth10/status/907438673762951168
maximirth10;2017-09-12 02:43;0;2;"Who is voting for that out of touch clown";;;;"907434579564417024";https://twitter.com/maximirth10/status/907434579564417024
maximirth10;2017-09-11 22:45;0;1;"Why would anyone expect a racist to apologize? He is unabashedly racist";;;;"907374659359920129";https://twitter.com/maximirth10/status/907374659359920129
maximirth10;2017-09-11 18:20;0;3;"No pic.twitter.com/K0fhh3ptfi";;;;"907307971255955463";https://twitter.com/maximirth10/status/907307971255955463
maximirth10;2017-09-11 17:25;0;1;"No way! That means there is no trust in the relationship";;;;"907294005960085504";https://twitter.com/maximirth10/status/907294005960085504
maximirth10;2017-09-11 17:10;0;1;"Oops!";;;;"907290180251471873";https://twitter.com/maximirth10/status/907290180251471873
maximirth10;2017-09-11 17:09;1;1;"Racism from Trump.....sadly, nothing new";;;;"907289992409505792";https://twitter.com/maximirth10/status/907289992409505792
maximirth10;2017-09-11 16:37;0;1;"You are trying your best to make yourself look Racist...Jackass pic.twitter.com/H5XsmdRWGj";;;;"907281983285420032";https://twitter.com/maximirth10/status/907281983285420032
maximirth10;2017-09-11 16:31;0;0;"";;;;"907280406705254400";https://twitter.com/maximirth10/status/907280406705254400
maximirth10;2017-09-11 04:42;0;2;"Melania Trump";;;;"907102009500868608";https://twitter.com/maximirth10/status/907102009500868608
maximirth10;2017-09-11 04:35;0;2;"He sounds like a fifth grader, she looks terrified";;;;"907100378449285120";https://twitter.com/maximirth10/status/907100378449285120
maximirth10;2017-09-11 04:34;0;1;"Well then listen to Nacho Flay";;;;"907099902374805504";https://twitter.com/maximirth10/status/907099902374805504
maximirth10;2017-09-11 04:33;0;0;"You should have been a model!";;;;"907099666961113088";https://twitter.com/maximirth10/status/907099666961113088
maximirth10;2017-09-11 00:39;0;1;"pic.twitter.com/AKE4EBRPID";;;;"907040761782439942";https://twitter.com/maximirth10/status/907040761782439942
maximirth10;2017-09-11 00:36;0;0;"Chef Batali, I used to watch you, Emeril, Bobby, Ina, Ann etc, and write down your recipes an instructions to learn how to cook. Appreciate! pic.twitter.com/GRAiZqbNHu";;;;"907040226035597313";https://twitter.com/maximirth10/status/907040226035597313
maximirth10;2017-09-11 00:14;0;0;"Yes ooo";;;;"907034553465888768";https://twitter.com/maximirth10/status/907034553465888768
maximirth10;2017-09-11 00:05;0;0;"Prayers sent up";;;;"907032386566868992";https://twitter.com/maximirth10/status/907032386566868992
maximirth10;2017-09-11 00:04;0;1;"Opening his doors to help the poor, the homeless, the hungry? That's a Big Joke. He went on TV and stated that he Does Not like poor people.";;;;"907032055250288640";https://twitter.com/maximirth10/status/907032055250288640
maximirth10;2017-09-10 20:12;0;1;"Thank you Nancy";;;;"906973662200418304";https://twitter.com/maximirth10/status/906973662200418304
maximirth10;2017-09-10 18:13;0;0;"My prayers are with Florida. I'm praying";;;;"906943609219448833";https://twitter.com/maximirth10/status/906943609219448833
maximirth10;2017-09-10 18:11;0;0;"pic.twitter.com/D95Bx2CMfj";;;;"906943309125439488";https://twitter.com/maximirth10/status/906943309125439488
maximirth10;2017-09-10 18:11;0;0;"No";;;;"906943137708470273";https://twitter.com/maximirth10/status/906943137708470273
maximirth10;2017-09-10 18:09;0;0;"No more white haired old white men";;;;"906942818991697920";https://twitter.com/maximirth10/status/906942818991697920
maximirth10;2017-09-10 18:02;0;0;"Area code: 216 Zip code: 44128";;;;"906940940019003392";https://twitter.com/maximirth10/status/906940940019003392
maximirth10;2017-09-10 17:56;0;0;""Good goes around, an around an around...good goes around an around!"";;;;"906939328789655552";https://twitter.com/maximirth10/status/906939328789655552
maximirth10;2017-09-10 16:48;0;0;"Please, Are they sized too small or too large? So I will know whether to order a size down (9) or size large (11). Thank you Please";;;;"906922434519060481";https://twitter.com/maximirth10/status/906922434519060481
maximirth10;2017-09-10 16:46;0;2;"pic.twitter.com/d5DexyZ9ne";;;;"906921743901761536";https://twitter.com/maximirth10/status/906921743901761536
maximirth10;2017-09-10 16:36;0;0;"Not gonna happen, lol";;;;"906919221631836161";https://twitter.com/maximirth10/status/906919221631836161
maximirth10;2017-09-10 16:31;0;0;"@bflay watching your comfort food show, and so excited";;@bflay;;"906918117221306369";https://twitter.com/maximirth10/status/906918117221306369
maximirth10;2017-09-10 16:29;0;0;"I can't stop laughing";;;;"906917639817240577";https://twitter.com/maximirth10/status/906917639817240577
maximirth10;2017-09-10 16:25;0;1;"pic.twitter.com/Up0E9pnRRZ";;;;"906916606638530560";https://twitter.com/maximirth10/status/906916606638530560
maximirth10;2017-09-10 16:04;0;0;"The Klu Klux Klan, nazi hand signal";;;;"906911148645240833";https://twitter.com/maximirth10/status/906911148645240833
maximirth10;2017-09-10 16:03;0;0;"Teeny tiny hands, an a teeny, tiny baby mouth. lol @realDonaldTrump";;@realDonaldTrump;;"906910908596850689";https://twitter.com/maximirth10/status/906910908596850689
maximirth10;2017-09-10 16:02;0;0;"Irma is pronounced as Ir ma. Not Ermmer, just a damn dummy. @realDonaldTrump";;@realDonaldTrump;;"906910653746737153";https://twitter.com/maximirth10/status/906910653746737153
maximirth10;2017-09-10 15:29;0;0;"Why. Ant he STFU?";;;;"906902404918104064";https://twitter.com/maximirth10/status/906902404918104064
maximirth10;2017-09-10 15:28;0;0;"Paid by Trump?";;;;"906902159379267584";https://twitter.com/maximirth10/status/906902159379267584
maximirth10;2017-09-10 15:21;0;0;"Yuck";;;;"906900563606032386";https://twitter.com/maximirth10/status/906900563606032386
maximirth10;2017-09-10 11:16;0;1;"I don't know about you but I'm terrified. pic.twitter.com/0Wl70Z9iqF";;;;"906838884960612352";https://twitter.com/maximirth10/status/906838884960612352
maximirth10;2017-09-10 11:13;0;0;"Hoaxers";;;;"906837930517426176";https://twitter.com/maximirth10/status/906837930517426176
maximirth10;2017-09-10 11:12;0;0;"Such a putz";;;;"906837697838436352";https://twitter.com/maximirth10/status/906837697838436352
maximirth10;2017-09-10 11:11;0;1;"Well, she should get a DNA test because she has an Igbo nose , lol";;;;"906837434704560134";https://twitter.com/maximirth10/status/906837434704560134
maximirth10;2017-09-10 11:08;0;1;"I noticed, praying";;;;"906836856603541504";https://twitter.com/maximirth10/status/906836856603541504
maximirth10;2017-09-10 11:05;0;0;"pic.twitter.com/GdHI4y4yeB";;;;"906836057047609345";https://twitter.com/maximirth10/status/906836057047609345
maximirth10;2017-09-10 11:04;0;0;"You are mad fun, as Bunneh Usagichan would say kwaii!";;;;"906835841598836736";https://twitter.com/maximirth10/status/906835841598836736
maximirth10;2017-09-10 10:16;0;0;"Cool beans";;;;"906823693250306048";https://twitter.com/maximirth10/status/906823693250306048
maximirth10;2017-09-10 10:05;0;0;"@gzchef I luv Watching you Iron Chef Geoffrey Zakarian. I also luv how you stood up to Trump as well. Much Respect!";;@gzchef;;"906820977362956288";https://twitter.com/maximirth10/status/906820977362956288
maximirth10;2017-09-10 10:02;0;0;"Klu klux klan";;;;"906820232987234304";https://twitter.com/maximirth10/status/906820232987234304
maximirth10;2017-09-10 10:02;0;0;"Oops I forgot your racist dumba$$";;;;"906820040850374656";https://twitter.com/maximirth10/status/906820040850374656
maximirth10;2017-09-10 10:01;0;0;"Can we fast forward your dumba$$";;;;"906819877486428162";https://twitter.com/maximirth10/status/906819877486428162
maximirth10;2017-09-10 10:00;0;1;"I Love watching The Kitchen an all the Chefs, an enjoy @cheftregaye ! pic.twitter.com/qpjIB1ln1Z";;@cheftregaye;;"906819626398617600";https://twitter.com/maximirth10/status/906819626398617600
maximirth10;2017-09-10 09:30;0;0;"lol, where is The Ohio State? lol, I get it";;;;"906812026034507776";https://twitter.com/maximirth10/status/906812026034507776
maximirth10;2017-09-10 09:30;0;0;"@tweety10873 your already my twitter friend. Why must you make me laugh so hard? You are just a fun twitter friend.";;@tweety10873;;"906812005507588098";https://twitter.com/maximirth10/status/906812005507588098
maximirth10;2017-09-10 09:29;0;0;"Oh My";;;;"906811972984950784";https://twitter.com/maximirth10/status/906811972984950784
maximirth10;2017-09-10 09:29;0;0;"Iron Chef GeoffZee, your the Best! pic.twitter.com/U6g0g04C9u";;;;"906811947408134144";https://twitter.com/maximirth10/status/906811947408134144
maximirth10;2017-09-10 02:58;0;0;"lol, awww man, stop making me giggle! pic.twitter.com/HQOBdGEJ8K";;;;"906713478437769216";https://twitter.com/maximirth10/status/906713478437769216
maximirth10;2017-09-10 02:54;0;3;"Awwwww, glad for the animals pic.twitter.com/SS0HXGACOX";;;;"906712503169806336";https://twitter.com/maximirth10/status/906712503169806336
maximirth10;2017-09-10 02:52;0;0;"pic.twitter.com/rcviCuhFLU";;;;"906712013379960833";https://twitter.com/maximirth10/status/906712013379960833
maximirth10;2017-09-10 02:51;0;0;"Turnt lol lol";;;;"906711743501664256";https://twitter.com/maximirth10/status/906711743501664256
maximirth10;2017-09-10 02:50;0;0;"It's The Ohio State University.";;;;"906711417579024384";https://twitter.com/maximirth10/status/906711417579024384
maximirth10;2017-09-10 02:49;0;0;"It's fun when your real friends are also your twitter friends pic.twitter.com/qRknpZPmIU";;;;"906711097754910722";https://twitter.com/maximirth10/status/906711097754910722
maximirth10;2017-09-10 02:10;0;0;"By sitting down and being quiet";;;;"906701411496415232";https://twitter.com/maximirth10/status/906701411496415232
maximirth10;2017-09-10 02:09;0;1;"Sorry They did that Leslie Jones.";;;;"906701151306964993";https://twitter.com/maximirth10/status/906701151306964993
maximirth10;2017-09-10 02:05;0;0;"pic.twitter.com/wBRr31WOua";;;;"906700017636974593";https://twitter.com/maximirth10/status/906700017636974593
maximirth10;2017-09-10 02:04;0;0;"You Sir, have an Ugly attitude";;;;"906699774413492229";https://twitter.com/maximirth10/status/906699774413492229
maximirth10;2017-09-10 02:02;0;0;"You sound stupid.";;;;"906699459681292288";https://twitter.com/maximirth10/status/906699459681292288
maximirth10;2017-09-10 02:01;0;0;"Luv you Mario, and still miss your cooking show. Your the Best!";;;;"906699132282327040";https://twitter.com/maximirth10/status/906699132282327040
maximirth10;2017-09-10 01:59;0;0;"You Go Mario Batali! pic.twitter.com/Unsat6Yg2a";;;;"906698634976219136";https://twitter.com/maximirth10/status/906698634976219136
maximirth10;2017-09-09 20:46;0;0;"Towson Tiger Alumni, and Proud of it!";;;;"906619886092406786";https://twitter.com/maximirth10/status/906619886092406786
