username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Runner5_H1gh;2017-11-03 23:42;0;1;"Are they rigged too?";;;;"926595381168832512";https://twitter.com/Runner5_H1gh/status/926595381168832512
Runner5_H1gh;2017-11-03 09:23;0;0;"This reeks of entitlement and being picky. Cut us all open and we’re all the same on the inside, cultural care is nonsense!";;;;"926379185601474560";https://twitter.com/Runner5_H1gh/status/926379185601474560
Runner5_H1gh;2017-11-03 09:22;0;0;"Culturally competent care? Who srsly gives a damn about that, if you’re going to help me; I’m grateful, regardless of culture!";;;;"926378971419340800";https://twitter.com/Runner5_H1gh/status/926378971419340800
Runner5_H1gh;2017-11-03 08:51;0;0;"You just proved her point!";;;;"926371134718832641";https://twitter.com/Runner5_H1gh/status/926371134718832641
Runner5_H1gh;2017-11-03 08:49;0;0;"Shame the baby was never loved!";;;;"926370777481572352";https://twitter.com/Runner5_H1gh/status/926370777481572352
Runner5_H1gh;2017-11-03 08:41;0;0;"I’d love to see some figures stating how many black people are killed by abortion in comparison to cops!";;;;"926368774797824001";https://twitter.com/Runner5_H1gh/status/926368774797824001
Runner5_H1gh;2017-11-03 08:39;0;1;"Messy bunch of figures that don’t really show anything, nice try!";;;;"926368124185858048";https://twitter.com/Runner5_H1gh/status/926368124185858048
Runner5_H1gh;2017-11-03 08:35;0;1;"Which means at least 16.1m babies were killed!";;;;"926367292639805445";https://twitter.com/Runner5_H1gh/status/926367292639805445
Runner5_H1gh;2017-11-03 08:29;0;0;"Shut up John you crazy old fool!";;;;"926365585478430720";https://twitter.com/Runner5_H1gh/status/926365585478430720
Runner5_H1gh;2017-11-02 14:26;0;1;"Bitch, are you really that dumb?";;;;"926093100271001601";https://twitter.com/Runner5_H1gh/status/926093100271001601
Runner5_H1gh;2017-11-02 14:24;0;0;"“System of oppression”";;;;"926092665195782146";https://twitter.com/Runner5_H1gh/status/926092665195782146
Runner5_H1gh;2017-11-02 14:23;0;0;"Of course he wouldn’t!";;;;"926092346294403072";https://twitter.com/Runner5_H1gh/status/926092346294403072
Runner5_H1gh;2017-11-02 14:22;0;1;"Bullshit! That tweet was a knee jerk reaction that you hoped would go viral, it did; but not for your intended reason. Dumbass!";;;;"926092165813555201";https://twitter.com/Runner5_H1gh/status/926092165813555201
Runner5_H1gh;2017-11-02 12:39;0;15;"Tell that to the Coptic Christians in Libya";;;;"926066346307346434";https://twitter.com/Runner5_H1gh/status/926066346307346434
Runner5_H1gh;2017-11-02 12:38;0;3;"Congratulations! You’ve won the coveted twitter award of ‘dick of the day’ for this insanely stupid tweet!";;;;"926066091050373126";https://twitter.com/Runner5_H1gh/status/926066091050373126
Runner5_H1gh;2017-11-02 07:57;0;0;"If someone is mowing down innocent people with a truck, then exits truck with a fake gun shouting “Allahu Akbar”= pretty good idea of motive";;;;"925995374241869824";https://twitter.com/Runner5_H1gh/status/925995374241869824
Runner5_H1gh;2017-11-01 23:45;0;0;"Look at his top tweet and tell me what word he used to describe yesterday’s NYC terrorist?! pic.twitter.com/V9j9qdFsEQ";;;;"925871357350596608";https://twitter.com/Runner5_H1gh/status/925871357350596608
Runner5_H1gh;2017-11-01 22:09;0;0;"Trump is literally Hitler (hysterical tears and autistic screeching)";;;;"925847340925276160";https://twitter.com/Runner5_H1gh/status/925847340925276160
Runner5_H1gh;2017-11-01 18:39;0;0;"God damn womansplainer!";;;;"925794440727408640";https://twitter.com/Runner5_H1gh/status/925794440727408640
Runner5_H1gh;2017-11-01 07:55;3;5;"The uterus is an exclusively female organ. Period!";;;;"925632420988190721";https://twitter.com/Runner5_H1gh/status/925632420988190721
